PLAYER_ID,PLAYER_NAME,CURRENT_TEAM_ID
2544,LeBron James,Los Angeles Lakers
101108,Chris Paul,Golden State Warriors
200768,Kyle Lowry,Miami Heat
200782,P.J. Tucker,LA Clippers
201142,Kevin Durant,Phoenix Suns
201143,Al Horford,Boston Celtics
201144,Mike Conley,Minnesota Timberwolves
201145,Jeff Green,Houston Rockets
201152,Thaddeus Young,Toronto Raptors
201565,Derrick Rose,Memphis Grizzlies
201566,Russell Westbrook,LA Clippers
201567,Kevin Love,Miami Heat
201568,Danilo Gallinari,Washington Wizards
201569,Eric Gordon,Phoenix Suns
201572,Brook Lopez,Milwaukee Bucks
201577,Robin Lopez,Milwaukee Bucks
201580,JaVale McGee,Sacramento Kings
201587,Nicolas Batum,Philadelphia 76ers
201599,DeAndre Jordan,Denver Nuggets
201935,James Harden,LA Clippers
201939,Stephen Curry,Golden State Warriors
201942,DeMar DeRozan,Chicago Bulls
201949,James Johnson,Indiana Pacers
201950,Jrue Holiday,Boston Celtics
201959,Taj Gibson,New York Knicks
201976,Patrick Beverley,Philadelphia 76ers
201980,Danny Green,Philadelphia 76ers
201988,Patty Mills,Miami Heat
202066,Garrett Temple,Toronto Raptors
202083,Wesley Matthews,Atlanta Hawks
202330,Gordon Hayward,Charlotte Hornets
202331,Paul George,LA Clippers
202397,Ish Smith,Charlotte Hornets
202681,Kyrie Irving,Dallas Mavericks
202684,Tristan Thompson,Cleveland Cavaliers
202685,Jonas Valanciunas,New Orleans Pelicans
202687,Bismack Biyombo,Memphis Grizzlies
202691,Klay Thompson,Golden State Warriors
202692,Alec Burks,Detroit Pistons
202693,Markieff Morris,Dallas Mavericks
202694,Marcus Morris Sr.,Philadelphia 76ers
202695,Kawhi Leonard,LA Clippers
202696,Nikola Vucevic,Chicago Bulls
202699,Tobias Harris,Philadelphia 76ers
202704,Reggie Jackson,Denver Nuggets
202709,Cory Joseph,Golden State Warriors
202710,Jimmy Butler,Miami Heat
202711,Bojan Bogdanovic,Detroit Pistons
202722,Davis Bertans,Charlotte Hornets
202738,Isaiah Thomas,Phoenix Suns
203076,Anthony Davis,Los Angeles Lakers
203078,Bradley Beal,Phoenix Suns
203081,Damian Lillard,Milwaukee Bucks
203083,Andre Drummond,Chicago Bulls
203084,Harrison Barnes,Sacramento Kings
203095,Evan Fournier,Detroit Pistons
203109,Jae Crowder,Milwaukee Bucks
203110,Draymond Green,Golden State Warriors
203114,Khris Middleton,Milwaukee Bucks
203200,Justin Holiday,Denver Nuggets
203458,Alex Len,Sacramento Kings
203468,CJ McCollum,New Orleans Pelicans
203469,Cody Zeller,New Orleans Pelicans
203471,Dennis Schroder,Toronto Raptors
203482,Kelly Olynyk,Utah Jazz
203484,Kentavious Caldwell-Pope,Denver Nuggets
203486,Mason Plumlee,LA Clippers
203488,Mike Muscala,Washington Wizards
