ACTION_TYPE,SHOT_FAMILY
Jump Shot,Jump Shot
Driving Floating Bank Jump Shot,Floater
Putback Layup Shot,Layup
Cutting Layup Shot,Layup
Floating Jump shot,Floater
Tip Layup Shot,Layup
Alley Oop Dunk Shot,Dunk
Driving Finger Roll Layup Shot,Layup
Driving Reverse Layup Shot,Layup
Step Back Jump shot,Step-Back Jump Shot
Driving Layup Shot,Layup
Driving Floating Jump Shot,Floater
Cutting Dunk Shot,Dunk
Pullup Jump shot,Pull-Up Jump Shot
Dunk Shot,Dunk
Running Jump Shot,Floater
Running Layup Shot,Layup
Turnaround Hook Shot,Hook Shot
Hook Shot,Hook Shot
Running Alley Oop Dunk Shot,Dunk
Fadeaway Jump Shot,Fadeaway Jump Shot
Running Pull-Up Jump Shot,Pull-Up Jump Shot
Turnaround Fadeaway shot,Turnaround Jump Shot
Running Dunk Shot,Dunk
Reverse Layup Shot,Layup
Layup Shot,Layup
Running Finger Roll Layup Shot,Layup
Alley Oop Layup shot,Layup
Turnaround Jump Shot,Turnaround Jump Shot
Running Alley Oop Layup Shot,Layup
Driving Dunk Shot,Dunk
Driving Hook Shot,Hook Shot
Fadeaway Bank shot,Fadeaway Jump Shot
Putback Dunk Shot,Dunk
Jump Bank Shot,Bank Jump Shot
Tip Dunk Shot,Dunk
Running Reverse Layup Shot,Layup
Driving Bank Hook Shot,Hook Shot
Running Reverse Dunk Shot,Dunk
Turnaround Fadeaway Bank Jump Shot,Fadeaway Jump Shot
Turnaround Bank shot,Turnaround Jump Shot
Hook Bank Shot,Hook Shot
Cutting Finger Roll Layup Shot,Layup
Finger Roll Layup Shot,Layup
Driving Reverse Dunk Shot,Dunk
Reverse Dunk Shot,Dunk
Turnaround Bank Hook Shot,Hook Shot
Step Back Bank Jump Shot,Step-Back Jump Shot
